timestamp,pid,ppid,real_uid,effective_uid,saved_uid,filesystem_uid,real_gid,effective_gid,saved_gid,filesystem_gid,vm_peak,vm_size,vm_hwm,rss_shmem,vm_stk,vm_data,threads,name,state,device_id,cpu,malicious
1759299868,380,1,103,103,103,103,109,109,109,109,121659392,121659392,110825472,N/A,135168,113930240,1,dbus-daemon,S (sleeping),router-victim1.bnsdq.ozxfs.rzona-owcwb.kvugl,0.2862629276167797,0
1759299868,3366,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1954459648,1931546624,36614144,N/A,135168,175190016,14,discern-network,S (sleeping),router-victim1.bnsdq.ozxfs.rzona-owcwb.kvugl,1.0753333072211504,0
1759299868,181,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,101937152,101937152,41775104,4096,135168,30105600,1,systemd-journal,S (sleeping),router-victim1.bnsdq.ozxfs.rzona-owcwb.kvugl,0.1783521508297733,0
1759299868,36839,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1264619520,1264619520,17301504,N/A,135168,45826048,5,discern-proc-so,S (sleeping),router-victim1.bnsdq.ozxfs.rzona-owcwb.kvugl,2.302895174346483,0
1759299868,4005,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1647706112,1580859392,24756224,N/A,135168,82464768,5,discern-interfa,S (sleeping),router-victim1.bnsdq.ozxfs.rzona-owcwb.kvugl,0.0015581211168512587,0
1759299873,380,1,103,103,103,103,109,109,109,109,121933824,121933824,111226880,N/A,135168,114204672,1,dbus-daemon,S (sleeping),router-victim1.bnsdq.ozxfs.rzona-owcwb.kvugl,0.28608172008545574,0
1759299873,3366,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1954459648,1931546624,36614144,N/A,135168,175190016,14,discern-network,S (sleeping),router-victim1.bnsdq.ozxfs.rzona-owcwb.kvugl,1.0743192896772313,0
1759299873,181,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,101937152,101937152,41775104,4096,135168,30105600,1,systemd-journal,S (sleeping),router-victim1.bnsdq.ozxfs.rzona-owcwb.kvugl,0.17837541051904435,0
1759299873,36839,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1264619520,1264619520,17301504,N/A,135168,45826048,5,discern-proc-so,S (sleeping),router-victim1.bnsdq.ozxfs.rzona-owcwb.kvugl,2.3150872546281187,0
1759299873,4005,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1647706112,1580859392,24756224,N/A,135168,82464768,5,discern-interfa,S (sleeping),router-victim1.bnsdq.ozxfs.rzona-owcwb.kvugl,0.0015549435434124275,0
1759299887,380,1,103,103,103,103,109,109,109,109,122613760,122613760,112037888,N/A,135168,114884608,1,dbus-daemon,S (sleeping),router-victim1.bnsdq.ozxfs.rzona-owcwb.kvugl,0.2867546520620189,0
1759299887,3366,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1954459648,1931546624,36614144,N/A,135168,175190016,14,discern-network,S (sleeping),router-victim1.bnsdq.ozxfs.rzona-owcwb.kvugl,1.0714557533088762,0
1759299887,181,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,101937152,101937152,41775104,4096,135168,30105600,1,systemd-journal,S (sleeping),router-victim1.bnsdq.ozxfs.rzona-owcwb.kvugl,0.1785286445137859,0
1759299887,42235,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1264357376,1264357376,16916480,N/A,135168,45563904,4,discern-proc-so,R (running),router-victim1.bnsdq.ozxfs.rzona-owcwb.kvugl,9.225770289718225,0
1759299887,4005,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1647706112,1580859392,24756224,N/A,135168,82464768,5,discern-interfa,S (sleeping),router-victim1.bnsdq.ozxfs.rzona-owcwb.kvugl,0.0015462718583714628,0
1759299893,380,1,103,103,103,103,109,109,109,109,122748928,122748928,112037888,N/A,135168,115019776,1,dbus-daemon,S (sleeping),router-victim1.bnsdq.ozxfs.rzona-owcwb.kvugl,0.2865831829049427,0
1759299893,3366,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1954459648,1931546624,36614144,N/A,135168,175190016,14,discern-network,S (sleeping),router-victim1.bnsdq.ozxfs.rzona-owcwb.kvugl,1.070494345011986,0
1759299893,181,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,101937152,101937152,41775104,4096,135168,30105600,1,systemd-journal,S (sleeping),router-victim1.bnsdq.ozxfs.rzona-owcwb.kvugl,0.17855724850823543,0
